## Columns = 00000 count, 00001 count, 00010 count, 00011 count, 00100 count, 00101 count, 00110 count, 00111 count, 01000 count, 01001 count, 01010 count, 01011 count, 01100 count, 01101 count, 01110 count, 01111 count, 10000 count, 10001 count, 10010 count, 10011 count, 10100 count, 10101 count, 10110 count, 10111 count, 11000 count, 11001 count, 11010 count, 11011 count, 11100 count, 11101 count, 11110 count, 11111 count
[Gy:0Gy:1Gy:2Gy:3Gy:4]([])[Gy:0Gy:1Gy:2Gy:3Gy:4]@(0,1,2,3,4)  2  0  0  0  48  0  0  0  45  0  0  0  475  0  0  0  61  0  0  0  549  0  0  0  744  0  0  0  6268  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4]@(0,1,2,3,4)  3  0  0  0  34  0  0  0  47  0  0  0  523  0  0  0  50  0  0  0  542  0  0  0  732  0  0  0  6261  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4]@(0,1,2,3,4)  10  0  0  0  31  0  0  0  47  0  0  0  461  0  0  0  67  0  0  0  539  0  0  0  706  0  0  0  6331  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]([])^8[Gy:0Gy:1Gy:2Gy:3Gy:4]@(0,1,2,3,4)  8  0  0  0  29  0  0  0  51  0  0  0  493  0  0  0  54  0  0  0  592  0  0  0  718  0  0  0  6247  0  0  0
[Gy:0Gx:1Gy:2Gx:3Gy:4]([])[Gy:0Gx:1Gy:2Gx:3Gy:4]@(0,1,2,3,4)  2  0  0  0  41  0  0  0  49  0  0  0  461  0  0  0  48  0  0  0  570  0  0  0  716  0  0  0  6305  0  0  0
[Gy:0Gx:1Gy:2Gx:3Gy:4]([])^2[Gy:0Gx:1Gy:2Gx:3Gy:4]@(0,1,2,3,4)  4  0  0  0  37  0  0  0  50  0  0  0  457  0  0  0  45  0  0  0  529  0  0  0  767  0  0  0  6303  0  0  0
[Gy:0Gx:1Gy:2Gx:3Gy:4]([])^4[Gy:0Gx:1Gy:2Gx:3Gy:4]@(0,1,2,3,4)  5  0  0  0  36  0  0  0  68  0  0  0  461  0  0  0  65  0  0  0  549  0  0  0  745  0  0  0  6263  0  0  0
[Gy:0Gx:1Gy:2Gx:3Gy:4]([])^8[Gy:0Gx:1Gy:2Gx:3Gy:4]@(0,1,2,3,4)  4  0  0  0  49  0  0  0  71  0  0  0  454  0  0  0  54  0  0  0  537  0  0  0  673  0  0  0  6350  0  0  0
[Gy:0Gy:1Gx:2Gx:3Gy:4]([])[Gy:0Gy:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  1  0  0  0  30  0  0  0  78  0  0  0  466  0  0  0  63  0  0  0  553  0  0  0  725  0  0  0  6276  0  0  0
[Gy:0Gy:1Gx:2Gx:3Gy:4]([])^2[Gy:0Gy:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  3  0  0  0  43  0  0  0  71  0  0  0  478  0  0  0  55  0  0  0  573  0  0  0  726  0  0  0  6243  0  0  0
[Gy:0Gy:1Gx:2Gx:3Gy:4]([])^4[Gy:0Gy:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  3  0  0  0  50  0  0  0  52  0  0  0  475  0  0  0  61  0  0  0  572  0  0  0  741  0  0  0  6238  0  0  0
