## Columns = 00000 count, 00001 count, 00010 count, 00011 count, 00100 count, 00101 count, 00110 count, 00111 count, 01000 count, 01001 count, 01010 count, 01011 count, 01100 count, 01101 count, 01110 count, 01111 count, 10000 count, 10001 count, 10010 count, 10011 count, 10100 count, 10101 count, 10110 count, 10111 count, 11000 count, 11001 count, 11010 count, 11011 count, 11100 count, 11101 count, 11110 count, 11111 count
[Gy:0Gy:1Gy:2Gy:3Gy:4]([])[Gy:0Gy:1Gy:2Gy:3Gy:4]@(0,1,2,3,4)  0  0  0  0  15  0  0  0  42  0  0  0  435  0  0  0  24  0  0  0  314  0  0  0  652  0  0  0  6710  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]([])^2[Gy:0Gy:1Gy:2Gy:3Gy:4]@(0,1,2,3,4)  3  0  0  0  29  0  0  0  53  0  0  0  472  0  0  0  37  0  0  0  335  0  0  0  624  0  0  0  6639  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]([])^4[Gy:0Gy:1Gy:2Gy:3Gy:4]@(0,1,2,3,4)  3  0  0  0  31  0  0  0  44  0  0  0  451  0  0  0  47  0  0  0  318  0  0  0  626  0  0  0  6672  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gy:4]([])^8[Gy:0Gy:1Gy:2Gy:3Gy:4]@(0,1,2,3,4)  1  0  0  0  18  0  0  0  47  0  0  0  420  0  0  0  37  0  0  0  371  0  0  0  676  0  0  0  6622  0  0  0
[Gy:0Gx:1Gy:2Gx:3Gy:4]([])[Gy:0Gx:1Gy:2Gx:3Gy:4]@(0,1,2,3,4)  1  0  0  0  30  0  0  0  40  0  0  0  473  0  0  0  36  0  0  0  341  0  0  0  591  0  0  0  6680  0  0  0
[Gy:0Gx:1Gy:2Gx:3Gy:4]([])^2[Gy:0Gx:1Gy:2Gx:3Gy:4]@(0,1,2,3,4)  0  0  0  0  27  0  0  0  35  0  0  0  430  0  0  0  41  0  0  0  330  0  0  0  604  0  0  0  6725  0  0  0
[Gy:0Gx:1Gy:2Gx:3Gy:4]([])^4[Gy:0Gx:1Gy:2Gx:3Gy:4]@(0,1,2,3,4)  0  0  0  0  15  0  0  0  46  0  0  0  464  0  0  0  33  0  0  0  316  0  0  0  610  0  0  0  6708  0  0  0
[Gy:0Gx:1Gy:2Gx:3Gy:4]([])^8[Gy:0Gx:1Gy:2Gx:3Gy:4]@(0,1,2,3,4)  5  0  0  0  23  0  0  0  46  0  0  0  448  0  0  0  26  0  0  0  339  0  0  0  657  0  0  0  6648  0  0  0
[Gy:0Gy:1Gx:2Gx:3Gy:4]([])[Gy:0Gy:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  4  0  0  0  19  0  0  0  38  0  0  0  490  0  0  0  31  0  0  0  341  0  0  0  628  0  0  0  6641  0  0  0
[Gy:0Gy:1Gx:2Gx:3Gy:4]([])^2[Gy:0Gy:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  0  0  0  0  24  0  0  0  51  0  0  0  438  0  0  0  38  0  0  0  304  0  0  0  666  0  0  0  6671  0  0  0
[Gy:0Gy:1Gx:2Gx:3Gy:4]([])^4[Gy:0Gy:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  2  0  0  0  24  0  0  0  50  0  0  0  420  0  0  0  39  0  0  0  370  0  0  0  598  0  0  0  6689  0  0  0
[Gy:0Gy:1Gx:2Gx:3Gy:4]([])^8[Gy:0Gy:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  3  0  0  0  23  0  0  0  42  0  0  0  466  0  0  0  38  0  0  0  325  0  0  0  647  0  0  0  6648  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gx:4]([])[Gy:0Gy:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  3  0  0  0  19  0  0  0  32  0  0  0  482  0  0  0  41  0  0  0  330  0  0  0  615  0  0  0  6670  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gx:4]([])^2[Gy:0Gy:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  0  0  0  0  25  0  0  0  41  0  0  0  445  0  0  0  39  0  0  0  342  0  0  0  605  0  0  0  6695  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gx:4]([])^4[Gy:0Gy:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  4  0  0  0  12  0  0  0  38  0  0  0  431  0  0  0  34  0  0  0  353  0  0  0  629  0  0  0  6691  0  0  0
[Gy:0Gy:1Gy:2Gy:3Gx:4]([])^8[Gy:0Gy:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  1  0  0  0  21  0  0  0  38  0  0  0  457  0  0  0  29  0  0  0  338  0  0  0  605  0  0  0  6703  0  0  0
[Gx:0Gy:1Gx:2Gy:3Gx:4]([])[Gx:0Gy:1Gx:2Gy:3Gx:4]@(0,1,2,3,4)  4  0  0  0  23  0  0  0  40  0  0  0  477  0  0  0  40  0  0  0  343  0  0  0  651  0  0  0  6614  0  0  0
[Gx:0Gy:1Gx:2Gy:3Gx:4]([])^2[Gx:0Gy:1Gx:2Gy:3Gx:4]@(0,1,2,3,4)  2  0  0  0  20  0  0  0  36  0  0  0  459  0  0  0  28  0  0  0  343  0  0  0  589  0  0  0  6715  0  0  0
[Gx:0Gy:1Gx:2Gy:3Gx:4]([])^4[Gx:0Gy:1Gx:2Gy:3Gx:4]@(0,1,2,3,4)  0  0  0  0  24  0  0  0  40  0  0  0  446  0  0  0  42  0  0  0  317  0  0  0  616  0  0  0  6707  0  0  0
[Gx:0Gy:1Gx:2Gy:3Gx:4]([])^8[Gx:0Gy:1Gx:2Gy:3Gx:4]@(0,1,2,3,4)  2  0  0  0  17  0  0  0  36  0  0  0  458  0  0  0  37  0  0  0  340  0  0  0  605  0  0  0  6697  0  0  0
[Gx:0Gx:1Gy:2Gy:3Gx:4]([])[Gx:0Gx:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  4  0  0  0  24  0  0  0  42  0  0  0  468  0  0  0  33  0  0  0  333  0  0  0  592  0  0  0  6696  0  0  0
[Gx:0Gx:1Gy:2Gy:3Gx:4]([])^2[Gx:0Gx:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  1  0  0  0  17  0  0  0  45  0  0  0  436  0  0  0  30  0  0  0  321  0  0  0  652  0  0  0  6690  0  0  0
[Gx:0Gx:1Gy:2Gy:3Gx:4]([])^4[Gx:0Gx:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  4  0  0  0  15  0  0  0  39  0  0  0  470  0  0  0  45  0  0  0  304  0  0  0  577  0  0  0  6738  0  0  0
[Gx:0Gx:1Gy:2Gy:3Gx:4]([])^8[Gx:0Gx:1Gy:2Gy:3Gx:4]@(0,1,2,3,4)  1  0  0  0  26  0  0  0  41  0  0  0  463  0  0  0  37  0  0  0  334  0  0  0  624  0  0  0  6666  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gy:4]([])[Gx:0Gx:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  3  0  0  0  21  0  0  0  51  0  0  0  441  0  0  0  27  0  0  0  337  0  0  0  594  0  0  0  6718  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gy:4]([])^2[Gx:0Gx:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  1  0  0  0  26  0  0  0  46  0  0  0  414  0  0  0  32  0  0  0  381  0  0  0  624  0  0  0  6668  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gy:4]([])^4[Gx:0Gx:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  3  0  0  0  15  0  0  0  52  0  0  0  431  0  0  0  36  0  0  0  361  0  0  0  594  0  0  0  6700  0  0  0
[Gx:0Gx:1Gx:2Gx:3Gy:4]([])^8[Gx:0Gx:1Gx:2Gx:3Gy:4]@(0,1,2,3,4)  2  0  0  0  17  0  0  0  32  0  0  0  467  0  0  0  33  0  0  0  375  0  0  0  643  0  0  0  6623  0  0  0
[Gy:0Gy:2Gy:4]([])[Gy:0Gy:2Gy:4]@(0,1,2,3,4)  48  0  0  0  465  0  0  0  2  0  0  0  15  0  0  0  662  0  0  0  6776  0  0  0  14  0  0  0  210  0  0  0
[Gy:0Gy:2Gy:4]([])^2[Gy:0Gy:2Gy:4]@(0,1,2,3,4)  37  0  0  0  500  0  0  0  1  0  0  0  10  0  0  0  635  0  0  0  6822  0  0  0  8  0  0  0  179  0  0  0
[Gy:0Gy:2Gy:4]([])^4[Gy:0Gy:2Gy:4]@(0,1,2,3,4)  27  0  0  0  460  0  0  0  0  0  0  0  11  0  0  0  652  0  0  0  6849  0  0  0  18  0  0  0  175  0  0  0
[Gy:0Gy:2Gy:4]([])^8[Gy:0Gy:2Gy:4]@(0,1,2,3,4)  45  0  0  0  445  0  0  0  0  0  0  0  13  0  0  0  656  0  0  0  6849  0  0  0  16  0  0  0  168  0  0  0
[Gy:0Gy:1Gy:4]([])[Gy:0Gy:1Gy:4]@(0,1,2,3,4)  19  0  0  0  2  0  0  0  478  0  0  0  30  0  0  0  326  0  0  0  14  0  0  0  6777  0  0  0  546  0  0  0
[Gy:0Gy:1Gy:4]([])^2[Gy:0Gy:1Gy:4]@(0,1,2,3,4)  26  0  0  0  2  0  0  0  466  0  0  0  29  0  0  0  329  0  0  0  19  0  0  0  6857  0  0  0  464  0  0  0
[Gy:0Gy:1Gy:4]([])^4[Gy:0Gy:1Gy:4]@(0,1,2,3,4)  16  0  0  0  0  0  0  0  476  0  0  0  30  0  0  0  338  0  0  0  22  0  0  0  6846  0  0  0  464  0  0  0
[Gy:0Gy:1Gy:4]([])^8[Gy:0Gy:1Gy:4]@(0,1,2,3,4)  24  0  0  0  2  0  0  0  470  0  0  0  26  0  0  0  326  0  0  0  17  0  0  0  6874  0  0  0  453  0  0  0
[Gy:0Gy:1Gy:2Gy:3]([])[Gy:0Gy:1Gy:2Gy:3]@(0,1,2,3,4)  3  0  0  0  22  0  0  0  48  0  0  0  478  0  0  0  35  0  0  0  396  0  0  0  607  0  0  0  6603  0  0  0
[Gy:0Gy:1Gy:2Gy:3]([])^2[Gy:0Gy:1Gy:2Gy:3]@(0,1,2,3,4)  0  0  0  0  26  0  0  0  40  0  0  0  441  0  0  0  32  0  0  0  351  0  0  0  625  0  0  0  6677  0  0  0
[Gy:0Gy:1Gy:2Gy:3]([])^4[Gy:0Gy:1Gy:2Gy:3]@(0,1,2,3,4)  2  0  0  0  20  0  0  0  44  0  0  0  422  0  0  0  31  0  0  0  338  0  0  0  631  0  0  0  6704  0  0  0
[Gy:0Gy:1Gy:2Gy:3]([])^8[Gy:0Gy:1Gy:2Gy:3]@(0,1,2,3,4)  2  0  0  0  19  0  0  0  39  0  0  0  470  0  0  0  35  0  0  0  333  0  0  0  632  0  0  0  6662  0  0  0
[Gy:1Gy:3]([])[Gy:1Gy:3]@(0,1,2,3,4)  349  0  0  0  20  0  0  0  7102  0  0  0  602  0  0  0  7  0  0  0  0  0  0  0  105  0  0  0  7  0  0  0
[Gy:1Gy:3]([])^2[Gy:1Gy:3]@(0,1,2,3,4)  331  0  0  0  22  0  0  0  7231  0  0  0  502  0  0  0  2  0  0  0  0  0  0  0  96  0  0  0  8  0  0  0
[Gy:1Gy:3]([])^4[Gy:1Gy:3]@(0,1,2,3,4)  341  0  0  0  21  0  0  0  7219  0  0  0  497  0  0  0  4  0  0  0  0  0  0  0  104  0  0  0  6  0  0  0
[Gy:1Gy:3]([])^8[Gy:1Gy:3]@(0,1,2,3,4)  352  0  0  0  13  0  0  0  7275  0  0  0  462  0  0  0  3  0  0  0  0  0  0  0  80  0  0  0  7  0  0  0
